Period [us],Frequency [Hz]
864,1157.407407
869,1150.747986
870,1149.425287
866,1154.734411
869,1150.747986
860,1162.790698
863,1158.748552
861,1161.440186
864,1157.407407
867,1153.402537
863,1158.748552
869,1150.747986
872,1146.788991
875,1142.857143
877,1140.250855
874,1144.16476
876,1141.552511
879,1137.656428
868,1152.073733
875,1142.857143
874,1144.16476
875,1142.857143
878,1138.952164
872,1146.788991
870,1149.425287
878,1138.952164
868,1152.073733
872,1146.788991
870,1149.425287
870,1149.425287
872,1146.788991
871,1148.105626
875,1142.857143
874,1144.16476
875,1142.857143
879,1137.656428
874,1144.16476
878,1138.952164
876,1141.552511
874,1144.16476
873,1145.475372
871,1148.105626
875,1142.857143
877,1140.250855
876,1141.552511
875,1142.857143
874,1144.16476
875,1142.857143
877,1140.250855
876,1141.552511
877,1140.250855
873,1145.475372
873,1145.475372
879,1137.656428
876,1141.552511
881,1135.07378
874,1144.16476
878,1138.952164
875,1142.857143
878,1138.952164
876,1141.552511
878,1138.952164
878,1138.952164
880,1136.363636
877,1140.250855
876,1141.552511
881,1135.07378
874,1144.16476
878,1138.952164
877,1140.250855
876,1141.552511
877,1140.250855
872,1146.788991
871,1148.105626
868,1152.073733
870,1149.425287
868,1152.073733
872,1146.788991
872,1146.788991
874,1144.16476
877,1140.250855
876,1141.552511
873,1145.475372
879,1137.656428
879,1137.656428
